# Source: https://roman.gsfc.nasa.gov/science/WFI_technical.html
# Wavelength(nm) Transmission(0-1)
400.0 0.0
405.0 0.0
410.0 0.0
415.0 0.0
420.0 0.0
425.0 0.0
430.0 0.0
435.0 0.0
440.0 0.0
445.0 0.0
450.0 0.0
455.0 0.0
460.0 0.0
465.0 0.0
470.0 0.0
475.0 0.0
480.0 0.0
485.0 0.0
490.0 0.0
495.0 0.0
500.0 0.0
505.0 0.0
510.0 0.0
515.0 0.0
520.0 0.0
525.0 0.0
530.0 0.0
535.0 0.0
540.0 0.0
545.0 0.0
550.0 0.0
555.0 0.0
560.0 0.0
565.0 0.0
570.0 0.0
575.0 0.0
580.0 0.0
585.0 0.0
590.0 0.0
595.0 0.0
600.0 0.0
605.0 0.0
610.0 0.0
615.0 0.0
620.0 0.0
625.0 0.0
630.0 0.0
635.0 0.0
640.0 0.0
645.0 0.0
650.0 0.0
655.0 0.0
660.0 0.0
665.0 0.0
670.0 0.0
675.0 0.0
680.0 0.0
685.0 0.0
690.0 0.0
695.0 0.0
700.0 0.0
705.0 0.0
710.0 0.0
715.0 0.0
720.0 0.0
725.0 0.0
730.0 0.0
735.0 0.0
740.0 0.0
745.0 0.0
750.0 0.0
755.0 0.0
760.0 0.0
765.0 0.0
770.0 0.0
775.0 0.0
780.0 0.0
785.0 0.0
790.0 0.0
795.0 0.0
800.0 0.0
805.0 0.0
810.0 0.0
815.0 0.0
820.0 0.0
825.0 0.0
830.0 0.0
835.0 0.0
840.0 0.0
845.0 0.0
850.0 0.0
855.0 0.0
860.0 0.0
865.0 0.0
870.0 0.0
875.0 0.0
880.0 0.0
885.0 0.0
890.0 0.0
895.0 0.0
900.0 0.0
905.0 0.0
910.0 0.0
915.0 0.0
920.0 0.0
925.0 0.0
930.0 0.0
935.0 0.0
940.0 0.0
945.0 0.0
950.0 0.0
955.0 0.0
960.0 0.0
965.0 0.0
970.0 0.0
975.0 0.0
980.0 0.0
985.0 0.0
990.0 0.0
995.0 0.0
1000.0 0.24714101713438194
1004.9999999999999 0.5086062214589594
1010.0 0.5228133172007338
1014.9999999999999 0.5369033214940868
1020.0 0.5509152648218258
1025.0 0.5648491471839506
1030.0 0.5786269076148471
1035.0 0.5919753327348659
1040.0 0.6055579407517271
1045.0 0.61898442683736
1050.0 0.6322547909917645
1055.0 0.645408063697748
1060.0 0.6584442449553101
1065.0 0.6713243042816439
1070.0 0.6840092111939424
1075.0 0.6965379961750127
1080.0 0.7088325982592405
1085.0 0.7213223527575037
1090.0 0.7331095585652395
1095.0 0.7447016119589399
1100.0 0.7563717263182546
1105.0 0.7668709261933571
1110.0 0.7774091565512665
1115.0 0.7881035088404044
1120.0 0.7985246477498926
1125.0 0.8082432379688538
1130.0 0.818196011084657
1135.0 0.8276413879239686
1140.0 0.8368135513836307
1145.0 0.8455954100152219
1150.0 0.8545724210608484
1155.0 0.862963974864369
1160.0 0.8711213457710472
1165.0 0.8794738690917606
1170.0 0.8872019046875609
1175.0 0.8951250926973967
1180.0 0.9028140978103899
1185.0 0.9097224932672416
1190.0 0.9169821630693572
1195.0 0.923929589009016
1200.0 0.9300964052925335
1205.0 0.9360680691620155
1210.0 0.9423910073767612
1215.0 0.9484407322118575
1220.0 0.9536708169080051
1225.0 0.959057023535381
1230.0 0.9642480777487217
